Poligonal,Ponto,Longitude,Latitude,Distância em km (em relação ao anterior)
1,1,-119.1677474976,45.7602005005,
1,2,-119.2582702637,45.8506965637,12.2675472612
1,3,-119.2881317139,45.8826904297,4.2428901504
1,4,-119.318321228,45.9046058655,3.3759641889
1,5,-119.3346328735,45.9221763611,2.3258521356
1,6,-119.3382568359,45.9256248474,0.4749842558
1,7,-119.3502044678,45.9370155334,1.5678122323
1,8,-119.3661346436,45.943145752,1.4078429776
1,9,-119.3665390015,45.9545822144,1.2720608136
1,10,-119.2603988647,46.0287246704,11.6277253676
1,11,-119.2185440063,46.1489334106,13.7508033181
1,12,-119.2351531982,46.1743125916,3.0984183292
1,13,-119.3024368286,46.201587677,6.0020929938
1,14,-119.4196624756,46.2270431519,9.4533678602
1,15,-119.5153045654,46.2358512878,7.4215799016
1,16,-119.5711135864,46.2338943481,4.2980039988
1,17,-119.6725540161,46.206287384,8.3863130585
1,18,-119.7209701538,46.2012023926,3.7686458872
1,19,-119.7524871826,46.2005691528,2.4266217618
1,20,-119.8018569946,46.1871948242,4.0806998959
1,21,-119.8946990967,46.2219085693,8.1208160494
1,22,-120.0884780884,46.2611885071,15.5293671911
1,23,-120.3138580322,46.4007492065,23.2436290314
1,24,-120.4322891235,46.4725723267,12.0890785706
1,25,-120.4569778442,46.5155181885,5.1357450304
1,26,-120.4526519775,46.5463638306,3.4458057659
1,27,-120.4625778198,46.5718002319,2.9284448042
1,28,-120.4773101807,46.5879440308,2.1190199152
1,29,-120.5044174194,46.6253356934,4.644892611
1,30,-120.4997406006,46.6493110657,2.6897454864
1,31,-120.4593505859,46.6742019653,4.1425828458
1,32,-120.4220504761,46.6824798584,2.9907946205
1,33,-120.3616943359,46.7321624756,7.1902001041
1,34,-120.3569564819,46.7561454773,2.6911127278
1,35,-120.3642654419,46.7954406738,4.4047344662
1,36,-120.4026412964,46.8578491211,7.528682897
1,37,-120.4370727539,46.8941879272,4.8142161833
1,38,-120.5177536011,46.9371566772,7.7705556714
1,39,-120.5314712524,46.9698753357,3.78420156
2,1,-119.1677474976,45.7602005005,
2,2,-119.2142105103,45.7640228271,3.6292909805
2,3,-119.3386993408,45.7774925232,9.7710637808
2,4,-119.6111755371,45.8164482117,21.5633801963
2,5,-119.6657180786,45.8245391846,4.3213396773
2,6,-119.8564300537,45.807384491,14.9025700216
2,7,-120.0427703857,45.7680892944,15.0947401778
2,8,-120.127571106,45.7524337769,6.8049724136
2,9,-120.1930160522,45.7014846802,7.6093358758
2,10,-120.3965377808,45.6759414673,16.0618536938
2,11,-120.4921722412,45.6716766357,7.4455902855
2,12,-120.5326385498,45.6848144531,3.4666803605
2,13,-120.5735015869,45.7171478271,4.7954725046
2,14,-120.6207427979,45.7218399048,3.7044092958
2,15,-120.6804046631,45.6913986206,5.7376429984
2,16,-120.8035507202,45.6545906067,10.4067951198
2,17,-120.9018630981,45.6188430786,8.6153800076
2,18,-120.9658584595,45.6320838928,5.1897408866
2,19,-121.053352356,45.6345252991,6.808311359
2,20,-121.0750274658,45.6265525818,1.9043233351
2,21,-121.1172409058,45.5923233032,5.0267950683
2,22,-121.1531677246,45.583442688,2.9649472055
2,23,-121.1916427612,45.5840873718,2.9950438882
2,24,-121.2091445923,45.5931510925,1.6942597939
2,25,-121.2281951904,45.6470184326,6.1702920025
2,26,-121.2730026245,45.6543083191,3.5759111082
2,27,-121.306098938,45.6720275879,3.2399123996
2,28,-121.3441848755,45.6758460999,2.9894483992
2,29,-121.3625030518,45.6866989136,1.8658622172
2,30,-121.4023284912,45.6771697998,3.2702676134
2,31,-121.4184875488,45.6748161316,1.2824438996
2,32,-121.5048904419,45.6985168457,7.2105355917
2,33,-121.5722351074,45.6907691956,5.3009761814
2,34,-121.6925888062,45.6669578552,9.7178744635
2,35,-121.8092422485,45.6743087769,9.1008707071
2,36,-121.8604049683,45.660118103,4.2773314099
2,37,-121.8884277344,45.6330108643,3.7189329679
2,38,-121.9816741943,45.5980186462,8.2303066986
2,39,-122.0582962036,45.5855560303,6.1209229443
2,40,-122.0966796875,45.5676345825,3.5910947164
2,41,-122.151763916,45.5637130737,4.3102332872
2,42,-122.2223358154,45.53307724,6.4656617892
